Place,Latitude,Longitude,Description,Category
Taj Krishna Hotel,17.4159,78.4485,5-star luxury hotel located in Banjara Hills Hyderabad district,Hotel
ITC Kakatiya,17.4321,78.4522,Luxury business hotel in Begumpet Hyderabad district,Hotel
Novotel Hyderabad Convention Centre,17.4510,78.3825,Upscale hotel near Hitech City Hyderabad district,Hotel
Hotel Haritha Warangal,17.9810,79.5972,TS Tourism hotel near Thousand Pillar Temple Warangal district,Hotel
Haritha Resort Laknavaram,18.1748,79.9051,Scenic lakeside cottages by Telangana Tourism in Warangal district,Hotel
Haritha Hotel Nagarjuna Sagar,16.5837,79.3170,Government-run stay overlooking Nagarjuna Sagar dam Nalgonda district,Hotel
Green Park Hyderabad,17.4373,78.4482,Modern hotel near Ameerpet Hyderabad district,Hotel
Hotel Haritha Kuntala,19.2236,78.5299,Comfortable accommodation near Kuntala Waterfalls Adilabad district,Hotel
Hotel Grand Nizamabad,18.6750,78.0950,3-star hotel in Nizamabad city near fort area Nizamabad district,Hotel
Hotel Sitara Ramoji,17.2567,78.6831,Premium stay inside Ramoji Film City Rangareddy district,Hotel
Ananthagiri Hills Resort,17.3665,77.9032,Haritha resort nestled amidst forests in Vikarabad district,Hotel
Hotel Sai Krishna Khammam,17.2480,80.1515,Popular stay option near Khammam Fort Khammam district,Hotel
Hotel Swagath Grand Yadadri,17.6661,78.9445,Comfortable accommodation near Yadadri temple Yadadri Bhuvanagiri district,Hotel
Hotel Vivera,17.4060,78.4620,Contemporary restaurant and bar in Hyderabad district,Restaurant
Paradise Biryani,17.4350,78.4691,Famous for Hyderabadi biryani in Secunderabad Hyderabad district,Restaurant
Alpha Hotel,17.4342,78.4849,Iconic local restaurant serving biryani near Secunderabad railway station Hyderabad district,Restaurant
Green Bawarchi,17.4239,78.5011,Multi-cuisine family restaurant in Hyderabad district,Restaurant
Kritunga Restaurant,17.3850,78.4867,Authentic Rayalaseema cuisine restaurant in Hyderabad district,Restaurant
Spicy Venue,17.4271,78.4149,Modern restaurant known for Andhra cuisine in Hyderabad district,Restaurant
Sri Lakshmi Dhaba,18.0455,78.2599,Popular roadside restaurant near Medak Fort Medak district,Restaurant
Taste of Warangal,17.9610,79.5955,Family restaurant near Warangal Fort Warangal district,Restaurant
Hotel Haritha Family Restaurant,18.1760,79.9050,Restaurant near Laknavaram Lake Warangal district,Restaurant
Basar Annapurna Hotel,18.8795,77.9440,Vegetarian restaurant near Basar Saraswati temple Nirmal district,Restaurant
Jai Hanuman Dhaba,17.6468,80.8682,Roadside eatery near Kinnerasani dam Khammam district,Restaurant
Highway Dhaba Kamareddy,18.3200,78.2500,Popular stopover for travelers on NH44 Kamareddy district,Restaurant
IOCL Fuel Station Hyderabad,17.3921,78.4803,Indian Oil petrol bunk near Charminar Hyderabad district,Petrol Station
HP Petrol Pump Warangal,17.9632,79.5987,HPCL petrol station near Warangal Fort Warangal district,Petrol Station
Bharat Petroleum Station Khammam,17.2465,80.1505,Petrol station near Khammam Fort Khammam district,Petrol Station
Essar Fuel Station Nizamabad,18.6735,78.0930,Petrol and diesel station near Nizamabad Fort Nizamabad district,Petrol Station
Indian Oil Fuel Station Adilabad,19.2235,78.5300,IOCL petrol pump near Kuntala Waterfalls Adilabad district,Petrol Station
HPCL Fuel Station Medak,18.0460,78.2600,Petrol station near Medak Church Medak district,Petrol Station
Reliance Petrol Pump Yadadri,17.6670,78.9435,Fuel station near Yadadri temple Yadadri Bhuvanagiri district,Petrol Station
Bharat Petroleum Kamareddy,18.1779,78.5685,Petrol bunk near Domakonda Fort Kamareddy district,Petrol Station
Indian Oil Fuel Station Ananthagiri,17.3670,77.9025,Fuel station near Ananthagiri Hills Vikarabad district,Petrol Station
BPCL Petrol Bunk Nalgonda,16.5850,79.3180,Fuel station near Nagarjuna Sagar dam Nalgonda district,Petrol Station
